ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;909075;35909075;10208;LESTE 4;WILFREDO PINHEIRO PROF;SAO PAULO;4.9700000000;2.9200000000;2.4500000000
2018;912268;35912268;10207;LESTE 1;IRINEU MONTEIRO DE PINHO REV;SAO PAULO;;2.1600000000;1.3700000000
2018;916729;35916729;10104;NORTE 2;GUSTAVO BARROSO;SAO PAULO;;2.7400000000;1.9500000000
2018;44283;35044283;10208;LESTE 4;OCTACILIO DE CARVALHO LOPES PROF;SAO PAULO;;;2.7400000000
2018;46279;35046279;10208;LESTE 4;ANTONIO SYLVIO DA CUNHA BUENO;SAO PAULO;;2.7100000000;1.4100000000
2018;191917;35191917;10314;SUL 2;MARILSA GARBOSSA FRANCISCO PROFESSORA;SAO PAULO;4.1000000000;2.3600000000;2.0500000000
2018;37618;35037618;10316;CENTRO SUL;ALVARO DE SOUZA LIMA DOUTOR;SAO PAULO;5.7100000000;2.3100000000;1.2800000000
2018;4923;35004923;10314;SUL 2;JOAO SILVA PROFESSOR;SAO PAULO;;3.3600000000;2.2200000000
2018;909130;35909130;10208;LESTE 4;INAH JACY DE CASTRO AGUIAR;SAO PAULO;;3.3700000000;1.5700000000
2018;925329;35925329;10318;SUL 3;ADA PELLEGRINI GRINOVER;SAO PAULO;6.4300000000;;
2018;39317;35039317;10317;SUL 1;FRANCISCO BRASILIENSE FUSCO DOUTOR;SAO PAULO;4.5500000000;3.2100000000;1.9700000000
2018;269384;35269384;10317;SUL 1;FERNANDO GASPARIAN;SAO PAULO;;2.6400000000;2.4200000000
2018;925342;35925342;10318;SUL 3;VICENTINA APARECIDA TAMBORINO PROFESSORA;SAO PAULO;4.9800000000;;
2018;3244;35003244;10211;LESTE 3;ADHEMAR ANTONIO PRADO PROFESSOR;SAO PAULO;;2.6000000000;1.7800000000
2018;4601;35004601;10316;CENTRO SUL;JULIA COLLACO FRANCA PROFESSORA;SAO PAULO;6.5900000000;;
2018;38313;35038313;10318;SUL 3;VERA ATHAYDE PEREIRA PROFA;SAO PAULO;;2.9000000000;2.2300000000
2018;906585;35906585;10318;SUL 3;JAYR DE ANDRADE PROFESSOR;SAO PAULO;6.4400000000;;
2018;916754;35916754;10210;LESTE 2;PEDRO GERALDO COSTA DEPUTADO;SAO PAULO;4.5700000000;2.8500000000;1.3400000000
2018;908964;35908964;10314;SUL 2;YOSHIO NINOMIYA;SAO PAULO;5.5100000000;;
2018;2203;35002203;10205;LESTE 5;JOSE MARQUES DA CRUZ PROFESSOR;SAO PAULO;;;3.0800000000
2018;1259;35001259;10104;NORTE 2;JOAO LIGABUE CONEGO;SAO PAULO;;2.9600000000;2.1700000000
2018;4418;35004418;10316;CENTRO SUL;NOSSA SENHORA APARECIDA;SAO PAULO;4.3500000000;2.1800000000;1.4000000000
2018;1417;35001417;10205;LESTE 5;ISAI LEIRNER;SAO PAULO;;;4.1300000000
2018;966;35000966;10102;CENTRO;GONCALVES DIAS;SAO PAULO;;3.2000000000;2.5000000000
2018;899;35000899;10102;CENTRO;PEDRO COSTA DEPUTADO;SAO PAULO;5.4300000000;;
2018;902603;35902603;10210;LESTE 2;DARIO MONTEIRO DE BRITO PROF;SAO PAULO;5.0300000000;;
2018;12464;35012464;20202;GUARATINGUETA;SAO LAURINDO VISCONDE;BANANAL;;;2.6600000000
2018;30387;35030387;20804;PENAPOLIS;JOSE CARLOS DA SILVA PROFESSOR;BARBOSA;;2.3100000000;1.7800000000
2018;23231;35023231;20510;SAO JOAQUIM DA BARRA;MARTINHO SYLVIO BIZUTTI PROFESSOR;IGARAPAVA;;;1.8500000000
2018;21337;35021337;20411;PIRASSUNUNGA;QUEIROZ FILHO PROFESSOR;LEME;;4.9600000000;
2018;70270;35070270;20411;PIRASSUNUNGA;PREFEITO ORLANDO LEME FRANCO;LEME;;3.4900000000;
2018;916024;35916024;20411;PIRASSUNUNGA;ALTIMIRA PINKE PROFESSORA;LEME;;2.7300000000;2.6600000000
2018;21520;35021520;20411;PIRASSUNUNGA;NEWTON PRADO;LEME;;3.4900000000;2.0000000000
2018;26815;35026815;20702;FERNANDOPOLIS;HILDA BERTONCINI RODRIGUES PROFESSORA;PEDRANOPOLIS;;3.3600000000;2.0800000000
2018;17735;35017735;20403;BRAGANCA PAULISTA;NARCISO PIERONI;SOCORRO;;3.1400000000;2.2000000000
2018;2239;35002239;10205;LESTE 5;ALMERINDA RODRIGUES MELLO PROFESSORA;SAO PAULO;;1.9300000000;1.7300000000
2018;3220;35003220;10207;LESTE 1;MILTON CRUZEIRO PROFESSOR;SAO PAULO;;3.0100000000;1.4400000000
2018;5046;35005046;10317;SUL 1;JOSE NASCIMENTO PROFESSOR;SAO PAULO;6.1100000000;;
2018;3098;35003098;10208;LESTE 4;ASCANIO DE AZEVEDO CASTILHO PROF;SAO PAULO;4.7600000000;;
2018;36742;35036742;10318;SUL 3;GIULIO DAVID LEONE PROF;SAO PAULO;;2.8900000000;1.8100000000
2018;900102;35900102;10314;SUL 2;LEILA SABINO PROFESSORA;SAO PAULO;5.1100000000;3.6600000000;2.3400000000
2018;483631;35483631;10210;LESTE 2;SALVADOR ROMANO;SAO PAULO;4.5800000000;;
2018;925354;35925354;10318;SUL 3;JOSE XAVIER CORTEZ;SAO PAULO;6.0300000000;;
2018;923285;35923285;10210;LESTE 2;NANCY DE OLIVEIRA FIDALGO PROFA;SAO PAULO;4.6400000000;2.4800000000;1.7100000000
2018;38261;35038261;10318;SUL 3;ADRIAO BERNARDES PROF;SAO PAULO;5.7100000000;2.5000000000;0.9800000000
2018;3177;35003177;10211;LESTE 3;ALCIDES BOSCOLO PROFESSOR;SAO PAULO;5.4100000000;;
2018;447663;35447663;10211;LESTE 3;JARDIM SANTO ANDRE III;SAO PAULO;;2.9600000000;2.0800000000
2018;2987;35002987;10207;LESTE 1;GABRIEL PELICIOTTI PROFESSOR;SAO PAULO;5.4700000000;;
2018;916493;35916493;10207;LESTE 1;JULIO DE CARVALHO BARATA;SAO PAULO;;2.6300000000;1.3500000000
2018;910831;35910831;10211;LESTE 3;GERALDINO DOS SANTOS DEPUTADO;SAO PAULO;4.2400000000;2.9400000000;2.0600000000
2018;2161;35002161;10205;LESTE 5;SALVADOR ROCCO PROFESSOR;SAO PAULO;;3.4600000000;2.8500000000
2018;2021;35002021;10205;LESTE 5;IRENE RIBEIRO PROFESSORA;SAO PAULO;7.3500000000;;
2018;4881;35004881;10317;SUL 1;EDMEA ATTAB PROFESSORA;SAO PAULO;4.0800000000;;
2018;44374;35044374;10317;SUL 1;JOAO ERNESTO FAGGIN DOUTOR;SAO PAULO;;2.1600000000;1.3900000000
2018;925408;35925408;10314;SUL 2;CLORINDA TRITTO GIANGIACOMO PROFESSORA;SAO PAULO;5.8600000000;;
2018;127;35000127;10101;NORTE 1;JOSE ALTENFELDER SILVA PROFESSOR;SAO PAULO;5.7800000000;;
2018;1673;35001673;10205;LESTE 5;MARIA DA GLORIA COSTA E SILVA PROFESSORA;SAO PAULO;;3.1600000000;1.9500000000
2018;910326;35910326;10317;SUL 1;JOSE BAPTISTA RIOS CASTELLOES PROFESSOR;SAO PAULO;5.7800000000;;
2018;924192;35924192;10501;MOGI DAS CRUZES;ROSA MARIA DE SOUZA PROFESSORA;SALESOPOLIS;;3.2200000000;
2018;39755;35039755;20306;ITU;MIRINHA TONELLO;SALTO;;3.2000000000;2.4300000000
2018;905276;35905276;20306;ITU;MARIA DE LOURDES MORAES COSTELA PROFA;SALTO;;3.1400000000;2.5500000000
2018;46929;35046929;20306;ITU;MARIA NAZARENA CORREA IRMA;SALTO;;2.9500000000;3.0400000000
2018;15635;35015635;20306;ITU;PAULA SANTOS PROF;SALTO;;3.9400000000;2.4200000000
2018;924520;35924520;10210;LESTE 2;THOMAZ RODRIGUES ALCKMIN;SAO PAULO;5.1900000000;;
2018;3116;35003116;10207;LESTE 1;APPARECIDA RAHAL PROFESSORA;SAO PAULO;;3.3500000000;1.2300000000
2018;4005;35004005;10312;CENTRO OESTE;MARIA EUGENIA MARTINS PROFESSORA;SAO PAULO;;3.4100000000;2.4700000000
2018;243;35000243;10101;NORTE 1;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;SAO PAULO;5.0100000000;;
2018;36456;35036456;10101;NORTE 1;MIGUEL OLIVA FEITOSA PROFESSOR;SAO PAULO;;2.2400000000;1.5700000000
2018;59;35000059;10101;NORTE 1;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;SAO PAULO;;;2.0300000000
2018;415443;35415443;10318;SUL 3;JOSÉ EPHIM MINDLIN;SAO PAULO;;3.7400000000;2.6000000000
2018;37011;35037011;10207;LESTE 1;GERALDO CAMPOS MOREIRA PROFESSOR DOUTOR;SAO PAULO;;2.7200000000;1.7800000000
2018;902287;35902287;10318;SUL 3;IRMA CHARLITA;SAO PAULO;4.6400000000;3.0700000000;2.3800000000
2018;902585;35902585;10207;LESTE 1;ELYSEU SIMOES MACHADO PROFESSOR;SAO PAULO;5.5100000000;;
2018;44362;35044362;10317;SUL 1;PEDRO CALIL PADIS PROFESSOR;SAO PAULO;4.5300000000;;
2018;1752;35001752;10208;LESTE 4;AROLDO DE AZEVEDO PROF;SAO PAULO;;2.9500000000;2.1500000000
2018;923278;35923278;10211;LESTE 3;SILVANA EVANGELISTA PROFESSORA;SAO PAULO;;2.1000000000;1.3900000000
2018;438042;35438042;10314;SUL 2;NAIR OLEGARIO CAJUEIRO;SAO PAULO;;;3.0100000000
2018;46267;35046267;10101;NORTE 1;JOAO NOGUEIRA LOTUFO PROFESSOR;SAO PAULO;5.9300000000;;
2018;5459;35005459;10318;SUL 3;HERBERT BALDUS;SAO PAULO;;3.1800000000;1.9900000000
2018;39248;35039248;10208;LESTE 4;QUINTILIANO JOSE SITRANGULO PROF;SAO PAULO;5.3700000000;3.2800000000;1.3900000000
2018;44350;35044350;10312;CENTRO OESTE;SAMUEL KLABIN;SAO PAULO;4.8100000000;3.2900000000;
2018;4522;35004522;10316;CENTRO SUL;RAUL CARDOSO DE ALMEIDA PROFESSOR;SAO PAULO;;3.0600000000;2.2200000000
2018;607;35000607;10104;NORTE 2;TITO PRATES DA FONSECA;SAO PAULO;;3.1100000000;2.1400000000
2018;1697;35001697;10205;LESTE 5;BEATRIZ R BASSI ASTORINO PROFESSORA;SAO PAULO;5.0400000000;3.8400000000;
2018;2461;35002461;10207;LESTE 1;JOAO MARIA OGNO OSB DOM;SAO PAULO;;2.0500000000;2.3000000000
