ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2019,349124,35349124,20407,JUNDIAI,BAIRRO FAZENDA GRANDE,JUNDIAI,0.0000000000,4.1400000000,2.7500000000
2019,350308,35350308,20410,PIRACICABA,EDSON RONTANI,PIRACICABA,0.0000000000,2.7800000000,1.9600000000
2019,350588,35350588,20507,RIBEIRAO PRETO,JARDIM DIVA TARLA DE CARVALHO,RIBEIRAO PRETO,0.0000000000,2.7100000000,2.1300000000
2019,350643,35350643,20507,RIBEIRAO PRETO,NEUSA MARIA DO BEM PROFESSORA,SERRANA,0.0000000000,3.2200000000,2.1300000000
2019,351064,35351064,20205,SAO JOSE DOS CAMPOS,SONIA MARIA ALEXANDRE PEREIRA PROFESSORA,SAO JOSE DOS CAMPOS,0.0000000000,2.9100000000,2.0800000000
2019,351076,35351076,20504,FRANCA,VICENTE MINICUCCI PROFESSOR,FRANCA,0.0000000000,4.7200000000,2.8000000000
2019,352561,35352561,10703,ITAPEVI,AIR FERREIRA DO NASCIMENTO PROFESSOR,ITAPEVI,0.0000000000,3.5800000000,2.0300000000
2019,352573,35352573,10211,LESTE 3,ANTONIO CARLOS BRASILEIRO DE ALMEIDA JOBIM TOM JOBIM,SAO PAULO,5.7900000000,0.0000000000,0.0000000000
2019,352585,35352585,10403,GUARULHOS NORTE,BOM PASTOR II,GUARULHOS,0.0000000000,2.5000000000,1.7400000000
2019,352603,35352603,10502,SUZANO,GILBERTO DE CARVALHO PROFESSOR,SUZANO,0.0000000000,3.0900000000,1.9500000000
2019,362759,35362759,20306,ITU,PRISCILA DE FATIMA PINTO PROFESSORA,ITU,0.0000000000,2.5400000000,2.1700000000
2019,377156,35377156,20602,JAU,ANTONIO TEREZIO MENDES PEIXOTO PROFESSOR,JAU,0.0000000000,3.4300000000,2.7000000000
2019,388973,35388973,10401,CAIEIRAS,JARDIM MARIA LUIZA ,CAJAMAR,0.0000000000,0.0000000000,1.4600000000
2019,389250,35389250,10602,MAUA,CLOTILDE ALVARES DORATIOTO,MAUA,5.1200000000,0.0000000000,0.0000000000
